Date,Price,Open,High,Low,Vol.,Change %
14/05/2021,7.7676,7.7681,7.7685,7.7657,8.15K,0.00%
13/05/2021,7.7679,7.7661,7.7688,7.7655,8.39K,0.03%
12/5/2021,7.7658,7.7685,7.7689,7.7653,8.59K,-0.03%
11/5/2021,7.7683,7.7655,7.7691,7.7653,7.77K,0.04%
10/5/2021,7.7653,7.7664,7.7671,7.765,8.21K,-0.01%
7/5/2021,7.7661,7.7681,7.7692,7.7655,10.06K,-0.03%
6/5/2021,7.7681,7.7694,7.7701,7.7676,10.53K,-0.01%
5/5/2021,7.7692,7.7681,7.7702,7.7673,10.73K,0.02%
4/5/2021,7.768,7.7667,7.7687,7.766,8.57K,0.02%
3/5/2021,7.7664,7.767,7.7685,7.7657,8.83K,-0.01%
30/04/2021,7.7674,7.7632,7.768,7.7625,8.96K,0.06%
29/04/2021,7.7631,7.7635,7.7639,7.7617,8.31K,0.00%
28/04/2021,7.7631,7.7619,7.764,7.7611,9.44K,0.02%
27/04/2021,7.7618,7.7601,7.7628,7.76,11.63K,0.02%
26/04/2021,7.7601,7.76,7.7618,7.759,8.86K,0.01%
23/04/2021,7.7594,7.7599,7.7632,7.759,11.87K,-0.01%
22/04/2021,7.7598,7.7638,7.7645,7.7589,10.50K,-0.06%
21/04/2021,7.7641,7.7614,7.7649,7.76,11.19K,0.04%
20/04/2021,7.7612,7.7657,7.768,7.7606,10.13K,-0.06%
19/04/2021,7.7656,7.7709,7.7737,7.765,8.80K,-0.07%
16/04/2021,7.7712,7.7673,7.7731,7.7663,19.22K,0.05%
15/04/2021,7.7673,7.7665,7.7685,7.7644,16.18K,0.03%
14/04/2021,7.7647,7.7733,7.7742,7.7649,15.50K,-0.10%
13/04/2021,7.7728,7.7736,7.7748,7.7717,13.51K,-0.01%
12/4/2021,7.7734,7.7776,7.7801,7.7719,11.67K,-0.06%
9/4/2021,7.7779,7.7772,7.7799,7.7761,10.13K,0.01%
8/4/2021,7.7768,7.7853,7.7853,7.7759,14.89K,-0.10%
7/4/2021,7.7847,7.7765,7.7866,7.7759,10.16K,0.11%
6/4/2021,7.776,7.7761,7.7776,7.7754,6.84K,0.00%
5/4/2021,7.7759,7.7757,7.7772,7.7754,4.78K,0.00%
2/4/2021,7.7759,7.7755,7.7771,7.7749,8.60K,0.01%
1/4/2021,7.7753,7.7741,7.7776,7.7735,9.17K,0.02%
31/03/2021,7.7739,7.7747,7.7761,7.7733,8.05K,-0.01%
30/03/2021,7.7747,7.7733,7.7765,7.7725,10.46K,0.02%
29/03/2021,7.7731,7.7696,7.7751,7.7688,7.99K,0.06%
26/03/2021,7.7686,7.7688,7.77,7.7683,7.81K,0.00%
25/03/2021,7.7684,7.7677,7.7702,7.7675,7.68K,0.00%
24/03/2021,7.7681,7.767,7.7698,7.7668,7.10K,0.01%
23/03/2021,7.7671,7.766,7.7681,7.765,9.06K,0.02%
22/03/2021,7.7658,7.7652,7.7681,7.7648,8.17K,0.01%
19/03/2021,7.7647,7.7648,7.7674,7.7641,9.03K,0.00%
18/03/2021,7.7646,7.7656,7.7661,7.7635,8.38K,-0.01%
17/03/2021,7.7653,7.7652,7.7675,7.7646,10.36K,0.01%
16/03/2021,7.7648,7.7655,7.7672,7.7635,9.89K,-0.01%
15/03/2021,7.7654,7.7627,7.7663,7.7611,8.29K,0.04%
12/3/2021,7.7625,7.7593,7.7668,7.7575,13.11K,0.05%
11/3/2021,7.7585,7.7615,7.7625,7.7576,13.09K,-0.03%
10/3/2021,7.7612,7.761,7.765,7.7603,11.60K,0.01%
9/3/2021,7.7608,7.7691,7.7701,7.7604,14.51K,-0.10%
8/3/2021,7.7688,7.7636,7.7701,7.7622,10.34K,0.07%
5/3/2021,7.7632,7.759,7.7657,7.7582,13.98K,0.06%
4/3/2021,7.7589,7.7568,7.7602,7.7561,9.20K,0.03%
3/3/2021,7.7567,7.7569,7.7589,7.7561,9.20K,0.00%
